actual_index,actual_x,actual_y,actual_yaw,nearest_path_index,nearest_path_x,nearest_path_y,nearest_error_m,dist_to_path_end_m,request_file
61,4.753629418554638,0.1819939660033363,-0.8317975816615942,86,4.281286992361977,-0.3748913760730873,0.7302250692773733,3.0267950818531113,lt_dwa_scout_bridge_request_296372000000.txt
62,4.81323324044538,0.09609738146339583,-1.0232563752173474,87,4.3311287258589335,-0.4204266455623509,0.70655632010444,2.9632734801246348,lt_dwa_scout_bridge_request_296669000000.txt
63,4.878428202204105,-0.038858157249325564,-1.2141368167878297,89,4.430815041126823,-0.5093564582049914,0.6494044911853974,2.896780557481083,lt_dwa_scout_bridge_request_296975000000.txt
64,4.929621238820709,-0.20845557705373893,-1.3663123267945965,92,4.580353058707789,-0.6363291054890788,0.5523260069697048,2.852952650554846,lt_dwa_scout_bridge_request_297272000000.txt
65,4.959433360065247,-0.40810451421480176,-1.482363953353276,95,4.7299035047562015,-0.7539606754110093,0.4150908800679296,2.8449380892328078,lt_dwa_scout_bridge_request_297570000000.txt
66,4.966326309443239,-0.6775507861073299,-1.5964275290744887,97,4.829611840450625,-0.8263402167749144,0.20206221989851578,2.8891922165725843,lt_dwa_scout_bridge_request_297957000000.txt
67,4.954975113393013,-0.8952392244050791,-1.6529163114946812,99,4.92932734036941,-0.893335218630402,0.025718349462208683,2.9586654403037262,lt_dwa_scout_bridge_request_298268000000.txt
68,4.9325006816663635,-1.108886178183837,-1.6881203479228741,101,5.0290505814610125,-0.9545120538867466,0.18208034875529616,3.0510877068362214,lt_dwa_scout_bridge_request_298570000000.txt
69,4.912480463977791,-1.2810357979807967,-1.6875188296974335,102,5.0789152716109625,-0.9827933962492869,0.34153927355791774,3.1360443280061467,lt_dwa_scout_bridge_request_298871000000.txt
70,4.898251523239217,-1.4126799284563893,-1.6575615267811326,103,5.128782090469414,-1.0094748284962323,0.4644552670186405,3.2048476006449524,lt_dwa_scout_bridge_request_299168000000.txt
